t (s),V (mV)
0,18.2909
1.029,18.2487
2.029,18.2185
3.029,18.1841
4.029,18.1477
5.029,18.1134
6.03,18.0805
7.029,18.0447
8.029,18.0109
9.03,17.9766
10.029,17.9419
11.03,17.9081
12.03,17.8735
13.03,17.8368
14.029,17.8033
15.03,17.7696
16.029,17.739
17.029,17.7045
18.029,17.6718
19.029,17.6381
20.03,17.605
21.03,17.5738
22.03,17.5508
23.03,17.5206
24.029,17.4866
25.029,17.4537
26.029,17.4222
27.03,17.3916
28.03,17.3596
29.029,17.3281
30.029,17.2961
31.03,17.2644
32.029,17.2337
33.03,17.2021
34.029,17.1722
35.029,17.1312
36.029,17.1079
37.03,17.0853
38.03,17.0568
39.03,17.0269
40.029,16.971
41.029,16.9587
42.029,16.9298
43.03,16.9025
44.03,16.8703
45.029,16.8394
46.029,16.8088
47.029,16.7799
48.03,16.7518
49.029,16.722
50.029,16.692
51.029,16.6624
52.029,16.6343
53.03,16.6049
54.03,16.5757
55.029,16.5457
56.029,16.5188
57.029,16.4883
58.029,16.4589
59.029,16.4319
60.029,16.4033
61.029,16.3751
62.03,16.3468
63.03,16.3168
64.029,16.2891
65.029,16.2608
66.03,16.2331
67.03,16.2051
68.029,16.1758
69.029,16.1481
70.029,16.1195
71.029,16.0929
72.029,16.0665
73.029,16.0377
74.029,16.0079
75.029,15.981
76.029,15.9521
77.029,15.926
78.029,15.8984
79.029,15.8733
80.03,15.8527
81.03,15.8296
82.029,15.8006
83.029,15.7727
84.03,15.7318
85.03,15.7136
86.03,15.6908
87.03,15.6625
88.029,15.6342
89.029,15.6093
90.03,15.5827
91.03,15.5385
92.029,15.5245
93.029,15.5018
94.03,15.4779
95.03,15.452
96.03,15.4244
97.029,15.397
98.03,15.3723
99.029,15.3459
100.03,15.3203
101.029,15.2951
102.03,15.2699
103.029,15.2447
104.03,15.2054
105.029,15.1877
106.03,15.1632
107.029,15.1393
108.029,15.1123
109.03,15.0885
110.029,15.0635
111.029,15.037
112.029,15.0108
113.029,14.9842
114.03,14.9597
115.029,14.9354
116.03,14.9098
117.03,14.8841
118.029,14.8571
119.029,14.8319
120.029,14.812
121.029,14.791
122.029,14.7644
123.029,14.7405
124.029,14.7152
125.03,14.6888
126.03,14.666
127.029,14.6411
128.029,14.6141
129.03,14.5893
130.029,14.5654
131.029,14.5433
132.03,14.5172
133.03,14.4917
134.029,14.466
135.029,14.443
136.029,14.4181
137.029,14.393
138.029,14.369
139.029,14.3425
140.03,14.3208
141.029,14.2946
142.029,14.2725
143.03,14.2479
144.029,14.2265
145.03,14.2003
146.029,14.1741
147.029,14.1528
148.03,14.1297
149.029,14.1064
150.03,14.0843
151.029,14.0623
152.029,14.0386
153.03,14.0131
154.029,13.9901
155.03,13.9682
156.03,13.9469
157.029,13.9234
158.029,13.9005
159.029,13.8765
160.029,13.8547
161.029,13.8321
162.03,13.8104
163.029,13.7773
164.029,13.7555
165.029,13.7334
166.03,13.7094
167.029,13.6867
168.029,13.6627
169.03,13.6409
170.029,13.6191
171.029,13.5971
172.03,13.5736
173.029,13.5527
174.029,13.5298
175.03,13.5041
176.029,13.4833
177.029,13.4603
178.03,13.4394
179.03,13.4256
180.029,13.4042
181.03,13.3788
182.029,13.3562
183.029,13.3348
184.03,13.3132
185.029,13.2903
186.03,13.266
187.029,13.2464
188.029,13.2255
189.029,13.2013
190.029,13.1813
191.03,13.1604
192.029,13.1384
193.03,13.1163
194.029,13.0956
195.029,13.0754
196.029,13.0464
197.03,13.0322
198.03,13.0102
199.029,12.9866
200.03,12.9702
201.029,12.9487
202.029,12.9297
203.03,12.9072
204.029,12.8865
205.029,12.8648
206.029,12.8432
207.029,12.8209
208.03,12.8003
209.029,12.7784
210.03,12.757
211.029,12.7348
212.029,12.7152
213.029,12.693
214.03,12.6716
215.029,12.6503
216.029,12.6292
217.029,12.6093
218.029,12.5897
219.03,12.5561
220.029,12.5475
221.03,12.5316
222.029,12.5103
223.03,12.4888
224.03,12.4687
225.029,12.4495
226.029,12.4298
227.03,12.4097
228.029,12.3897
229.03,12.3716
230.03,12.3525
231.029,12.3306
232.03,12.3134
233.029,12.2917
234.03,12.2728
235.029,12.2526
236.029,12.2321
237.03,12.211
238.03,12.1919
239.029,12.1731
240.029,12.1529
241.029,12.1326
242.03,12.1134
243.029,12.0913
244.03,12.0727
245.029,12.0525
246.03,12.0315
247.029,12.0116
248.03,11.9917
249.029,11.9719
250.03,11.9544
251.029,11.9361
252.03,11.9165
253.029,11.8977
254.03,11.8721
255.029,11.8556
256.03,11.8384
257.03,11.8206
258.03,11.8029
259.03,11.7832
260.029,11.7668
261.03,11.7504
262.03,11.7279
263.029,11.7104
264.03,11.6937
265.029,11.6727
266.029,11.652
267.029,11.6364
268.03,11.6144
269.029,11.5966
270.03,11.5781
271.029,11.5584
272.029,11.5406
273.03,11.5218
274.029,11.5006
275.03,11.4835
276.029,11.4626
277.03,11.4392
278.029,11.4233
279.03,11.4039
280.03,11.386
281.029,11.3668
282.029,11.3495
283.03,11.3302
284.03,11.3117
285.029,11.295
286.029,11.2775
287.03,11.26
288.029,11.2406
289.03,11.2247
290.029,11.2058
291.03,11.1881
292.029,11.1717
293.029,11.154
294.029,11.1357
295.029,11.1186
296.029,11.1031
297.029,11.0833
298.03,11.0677
299.029,11.0482
300.03,11.0323
301.03,11.0135
302.03,10.9964
303.029,10.9794
304.029,10.9628
305.03,10.9443
306.029,10.9257
307.03,10.9104
308.03,10.8925
309.029,10.8751
310.029,10.8591
311.03,10.8408
312.03,10.8242
313.029,10.8064
314.029,10.7907
315.029,10.7723
316.03,10.7569
317.029,10.7399
318.03,10.7223
319.029,10.7037
320.03,10.6865
321.029,10.6699
322.03,10.6527
323.029,10.6385
324.03,10.6208
325.029,10.6031
326.029,10.5896
327.028,10.5686
328.028,10.5511
329.029,10.5351
330.028,10.5182
331.028,10.5019
332.029,10.4851
333.029,10.4683
334.028,10.4519
335.029,10.4337
336.029,10.4188
337.028,10.4022
338.029,10.3835
339.028,10.3668
340.028,10.3513
341.029,10.335
342.028,10.3199
343.029,10.3015
344.029,10.2844
345.029,10.2696
346.028,10.2528
347.028,10.2387
348.028,10.2189
349.028,10.2049
350.028,10.1887
351.029,10.1727
352.028,10.1575
353.028,10.1403
354.028,10.1245
355.028,10.1084
356.028,10.0952
357.028,10.0762
358.029,10.0597
359.029,10.0463
360.028,10.0301
361.028,10.0118
362.03,9.9966
363.029,9.9831
364.029,9.9655
365.03,9.95
366.03,9.9323
367.03,9.9186
368.03,9.9046
369.03,9.8868
370.03,9.872
371.029,9.8563
372.029,9.8386
373.029,9.8247
374.029,9.8102
375.029,9.7928
376.029,9.7773
377.03,9.7618
378.029,9.7456
379.029,9.7308
380.029,9.7159
381.03,9.7009
382.029,9.6846
383.029,9.6706
384.029,9.656
385.029,9.641
386.03,9.6256
387.029,9.6108
388.03,9.5973
389.029,9.5813
390.03,9.5663
391.029,9.5523
392.029,9.5375
393.03,9.5229
394.029,9.5094
395.029,9.4941
396.029,9.4808
397.029,9.4655
398.029,9.4495
399.03,9.4341
400.029,9.4213
401.03,9.407
402.029,9.3921
403.029,9.3773
404.029,9.3595
405.03,9.3456
406.029,9.3289
407.03,9.3146
408.029,9.3007
409.03,9.2859
410.029,9.2698
411.029,9.2541
412.03,9.2391
413.029,9.2252
414.029,9.2112
415.029,9.1959
416.03,9.1805
417.029,9.1653
418.03,9.1498
419.029,9.1372
420.029,9.122
421.03,9.1086
422.029,9.0931
